identifier,group,major_group,sub_group,membran_prediction,seq_start,number_cysteines,activity,x_umap_2D,y_umap_2D,x_umap_3D,y_umap_3D,z_umap_3D,x_pca_3D,y_pca_3D,z_pca_3D,variance,x_tsne_2D,y_tsne_2D,x_tsne_3D,y_tsne_3D,z_tsne_3D
None|Xetr_1|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAA,10.0,,-2.7295766,6.3512254,-2.9726562,5.4777236,-0.44599736,0.9102986318163646,0.08803522373621665,0.5544162796653067,,52.212505,26.610628,20.41041,-6.954937,-2.3342974
None|Xetr_2|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Secreted,MQC,11.0,,1.979985,11.303623,4.5178657,10.261837,-0.689526,0.6255222674860977,-0.16823058737003602,0.39821096195272837,,-32.24708,-25.018984,13.141735,-6.345904,-4.8027444
None|Xetr_3|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,,8.0,,-3.7550201,6.9744177,-3.261494,5.4864187,0.4519926,1.0215824331027945,-0.02567668456825039,0.5146072067965736,,42.92299,32.707558,19.584486,-3.962268,0.2865925
None|Xetr_5|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAD,10.0,,-2.3302236,6.1149306,-3.252953,5.398792,-1.0205817,0.9684023646008122,0.26653060099806236,0.5896452198046401,,53.58906,26.918688,20.992245,-8.361111,-2.8059127
None|Xetr_6|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MSP,10.0,,-2.5125942,6.0872064,-3.04244,5.2079086,-0.78032106,0.9437187722628624,0.12961278320511913,0.551321867642517,,52.264877,26.732132,20.514618,-7.0750957,-2.3138366
None|Xetr_7|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAT,10.0,,-2.359487,6.3260717,-3.086726,5.4903336,-0.6486639,0.8770541168292982,0.023650912007024724,0.5503234314393612,,53.29021,26.46121,20.290903,-8.511743,-2.271989
None|Xetr_8|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,,10.0,,-2.4337044,5.9149737,-3.356043,5.236933,-0.94790226,0.91021754243507,0.20371654594295724,0.5548383735314769,,53.676388,27.138062,21.25678,-8.50818,-2.654379
None|Xetr_9|Xenopus_tropicalis,GPIHBP1,Ly-6,GPIHBP1,Membrane,,10.0,,-2.686329,5.9453077,-3.0577796,5.183228,-0.83053046,0.9528150657196977,0.10546500425098833,0.3920361161423305,,52.225594,28.954933,22.232862,-7.107129,-1.195872
None|Xetr4|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Secreted,MQC,12.0,,6.4660907,12.172394,6.1063685,8.029885,1.797736,0.45796915064997007,-0.10041928324856968,0.22127509403413576,,-26.820438,7.9390388,9.614018,1.0478038,2.1081896
None|Hosa_13|Homo_sapiens,Ly6L,Ly-6,Ly6L,Membrane,MER,10.0,,-4.5126953,7.180667,-3.5651064,5.7001524,0.8216729,1.068647233239449,0.06493508383605852,0.1375518945078104,,42.828648,37.557213,22.286755,-0.46149066,1.4194742
SP|O43653|Homo_sapiens,PSCA,Ly-6,PSCA,Membrane,MAG,10.0,,-4.509583,6.992927,-3.7861888,5.748784,0.7314446,1.0827330662374586,0.13941231805005141,0.28394660911929276,,43.45271,36.77752,22.88627,-1.1945143,0.43244842
SP|O94772|Homo_sapiens,Ly6H,Ly-6,Ly6H,Membrane,MLP,10.0,,-4.6782618,7.0281963,-3.7645688,5.779043,0.7759114,1.1729918022006431,-0.0706085854545378,0.30716601785651704,,43.74705,37.27616,23.167309,-1.246346,1.3396405
SP|P0DP57|Homo_sapiens,SLURP2,Ly-6,SLURP2,Secreted,MQL,10.0,,4.289088,12.351973,4.564776,7.423552,0.6114026,0.707197462414179,0.1224962002625405,-0.17135534912267533,,-39.122208,22.946884,14.348168,8.9637,4.4643044
SP|P0DP58|Homo_sapiens,LYNX1,Ly-6,LYNX1,Membrane,MTP,10.0,,-4.108895,6.4567943,-3.5990293,5.4322057,0.2125505,1.0270702048627032,0.0306054831359444,0.2894966946627983,,45.243828,34.942978,23.076353,-3.9053035,-0.041086584
SP|P55000|Homo_sapiens,SLURP1,Ly-6,SLURP1,Secreted,MAS,10.0,,4.22714,12.246912,4.3351865,7.5767713,0.5476952,0.7166719857548385,0.07261537525364913,-0.07651776455738543,,-39.863083,22.501572,13.616176,8.180547,4.193601
